t,w,x,y,z,ax,ay,az
16,0.9993,0.008,-0.0098,0.0339,0.0398,0.1184,1.0795
15,0.9993,0.012,-0.0128,0.0311,0.0709,0.1335,1.1405
15,0.9993,0.0174,-0.0172,0.0261,0.0756,0.1534,1.1626
15,0.9993,0.0214,-0.0206,0.0211,0.0526,0.1914,1.137
16,0.9994,0.0219,-0.0201,0.0175,0.0315,0.2059,1.1112
15,0.9995,0.0204,-0.0169,0.0162,0.0155,0.1749,1.098
16,0.9996,0.0211,-0.011,0.0164,0.0129,0.1398,1.0765
15,0.9995,0.0253,-0.0054,0.018,0.007,0.1333,1.0498
16,0.9993,0.0313,-0.006,0.0187,-0.0195,0.1577,1.0034
16,0.9991,0.0357,-0.0145,0.018,-0.0393,0.1683,0.9471
16,0.9988,0.0375,-0.0263,0.0173,-0.0159,0.1615,0.9093
16,0.9984,0.0381,-0.0374,0.0169,0.0435,0.1476,0.895
16,0.9981,0.0385,-0.0447,0.0162,0.1184,0.1346,0.9095
16,0.998,0.0391,-0.0469,0.0146,0.1481,0.1245,0.9594
15,0.9981,0.0394,-0.0452,0.0112,0.1418,0.1367,0.9683
15,0.9982,0.0385,-0.0444,0.008,0.1323,0.1356,0.9351
15,0.9983,0.0363,-0.0451,0.0069,0.1001,0.1093,0.9098
15,0.9984,0.0338,-0.0435,0.008,0.0704,0.0579,0.9104
15,0.9987,0.0312,-0.0375,0.0085,0.0718,0.0344,0.8962
16,0.9991,0.0275,-0.028,0.0087,0.0825,0.0142,0.9314
15,0.9995,0.0242,-0.0211,0.008,0.0914,-0.0122,0.9792
16,0.9995,0.0228,-0.0209,0.0076,0.0704,-0.0225,0.9812
16,0.9995,0.0203,-0.0242,0.008,0.0283,-0.0322,0.9408
16,0.9993,0.0142,-0.0331,0.009,0.0254,-0.0393,0.9121
16,0.999,0.0048,-0.0441,0.0101,0.0625,-0.0447,0.9487
16,0.9987,-0.0021,-0.0482,0.011,0.1002,-0.0709,1.0284
16,0.9988,-0.0044,-0.0458,0.0125,0.103,-0.0801,1.0734
16,0.999,-0.0037,-0.0407,0.0138,0.0776,-0.0757,1.0492
15,0.9992,-0.0026,-0.0356,0.0148,0.0814,-0.0621,0.9996
16,0.9995,-0.0029,-0.0289,0.0159,0.0784,-0.0627,0.996
15,0.9996,-0.0042,-0.0206,0.0167,0.0521,-0.0642,1.0127
15,0.9998,-0.0053,-0.0092,0.0174,0.0057,-0.0548,1.0018
15,0.9998,-0.0062,0.0007,0.0191,-0.0404,-0.0303,0.9391
15,0.9997,-0.0083,0.0069,0.0214,-0.0541,-0.0214,0.9031
15,0.9996,-0.012,0.0071,0.0246,0.0081,-0.0343,0.9229
16,0.9995,-0.0148,0.0058,0.0265,0.0466,-0.068,0.968
16,0.9995,-0.015,0.0038,0.0281,0.0471,-0.0654,1.0002
16,0.9993,-0.0158,-0.0003,0.0319,0.0428,-0.066,0.9824
16,0.9991,-0.0194,-0.0018,0.0359,0.0259,-0.0696,0.9604
16,0.9988,-0.027,-0.0066,0.0401,0.0585,-0.0782,0.9988
16,0.9983,-0.0383,-0.0098,0.0422,0.0297,-0.1031,1.0404
16,0.9979,-0.0472,-0.0051,0.0433,-0.0363,-0.1537,1.0579
16,0.9977,-0.0491,-0.0023,0.0458,-0.0309,-0.1766,1.0374
15,0.9978,-0.0463,-0.0015,0.0467,-0.0128,-0.1791,0.9968
16,0.998,-0.0437,0.0038,0.0445,-0.0033,-0.1641,0.99
15,0.9981,-0.0421,0.0096,0.0425,-0.0321,-0.1357,0.9944
15,0.9982,-0.0413,0.0106,0.0417,-0.0398,-0.1161,1.0013
15,0.9982,-0.0416,0.0109,0.0411,-0.0284,-0.1019,1.0161
16,0.9981,-0.0436,0.0106,0.0411,-0.0347,-0.1029,0.999
15,0.9979,-0.0482,0.0112,0.0424,-0.0566,-0.115,0.9607
16,0.9975,-0.0541,0.011,0.0433,-0.0586,-0.1062,0.9297
16,0.9971,-0.061,0.0084,0.0439,-0.0459,-0.0876,0.9138
16,0.9966,-0.0684,0.0082,0.0438,-0.0531,-0.0911,0.9226
16,0.9962,-0.0746,0.0088,0.043,-0.02,-0.0973,0.9375
16,0.996,-0.0795,0.007,0.0402,-0.0001,-0.1105,0.9639
16,0.9958,-0.0831,0.0021,0.0369,-0.0092,-0.1333,0.9834
15,0.9957,-0.0853,-0.001,0.0344,-0.046,-0.1671,0.9819
16,0.9956,-0.087,-0.0005,0.0334,-0.0635,-0.1813,0.9725
15,0.9953,-0.0904,0.001,0.0334,-0.0526,-0.1901,0.9736
16,0.9949,-0.0945,0.0028,0.0331,-0.0397,-0.1945,0.9922
15,0.9948,-0.0962,0.0028,0.033,-0.0209,-0.2015,1.0125
16,0.9948,-0.0958,0.0014,0.0327,0.0004,-0.2089,1.0093
15,0.9948,-0.0964,-0.0021,0.0322,0.0283,-0.2106,0.9794
16,0.9946,-0.0986,-0.005,0.0307,0.0518,-0.214,0.9618
15,0.9945,-0.0999,-0.0071,0.0291,0.048,-0.2219,0.9751
16,0.9946,-0.0996,-0.0092,0.0285,0.0225,-0.2322,1.0007
15,0.9946,-0.0984,-0.0121,0.0289,0.0249,-0.2444,1.0176
