t,w,x,y,z,ax,ay,az
23:39:54.112523,0.98,-0.01,-0.0,-0.18,0.04,-0.14,1.0
23:39:54.115523,0.98,-0.02,-0.0,-0.18,0.02,-0.14,1.02
23:39:54.129531,0.98,-0.02,-0.0,-0.19,0.01,-0.14,1.03
23:39:54.145531,0.98,-0.02,-0.0,-0.19,0.01,-0.13,1.04
23:39:54.148531,0.98,-0.02,-0.0,-0.19,0.01,-0.13,1.03
23:39:54.162531,0.98,-0.03,-0.0,-0.19,0.01,-0.14,1.0
23:39:54.165531,0.98,-0.03,-0.0,-0.19,0.01,-0.14,0.99
23:39:54.179531,0.98,-0.03,0.0,-0.2,-0.01,-0.14,0.99
23:39:54.195531,0.98,-0.03,0.0,-0.2,-0.04,-0.15,1.01
23:39:54.198531,0.98,-0.03,0.0,-0.2,-0.05,-0.14,1.02
23:39:54.213357,0.98,-0.03,0.0,-0.2,-0.05,-0.11,1.02
23:39:54.215357,0.98,-0.04,-0.0,-0.21,-0.05,-0.07,1.02
23:39:54.229357,0.98,-0.04,-0.0,-0.21,-0.05,-0.05,1.01
23:39:54.246357,0.98,-0.04,-0.0,-0.21,-0.05,-0.06,1.0
23:39:54.248357,0.98,-0.04,-0.0,-0.21,-0.04,-0.07,1.0
23:39:54.262357,0.98,-0.04,-0.0,-0.22,-0.03,-0.09,0.99
23:39:54.265365,0.97,-0.04,-0.0,-0.22,-0.02,-0.11,1.0
23:39:54.279365,0.97,-0.04,-0.0,-0.22,-0.01,-0.13,1.0
23:39:54.296365,0.97,-0.04,0.0,-0.23,-0.01,-0.14,1.0
23:39:54.299365,0.97,-0.04,0.0,-0.23,-0.01,-0.16,1.0
23:39:54.313374,0.97,-0.04,0.0,-0.23,-0.04,-0.15,0.99
23:39:54.315374,0.97,-0.04,0.0,-0.24,-0.06,-0.13,0.98
23:39:54.329374,0.97,-0.04,0.0,-0.24,-0.07,-0.11,0.98
23:39:54.346374,0.97,-0.04,0.0,-0.24,-0.07,-0.08,0.99
23:39:54.350374,0.97,-0.04,0.0,-0.25,-0.08,-0.03,0.99
23:39:54.354374,0.97,-0.03,-0.0,-0.25,-0.08,0.02,0.98
23:39:54.379382,0.97,-0.03,-0.0,-0.25,-0.09,0.07,0.97
23:39:54.382383,0.97,-0.03,-0.0,-0.25,-0.08,0.09,0.97
23:39:54.385382,0.97,-0.03,-0.0,-0.25,-0.07,0.11,0.96
23:39:54.396382,0.97,-0.03,-0.0,-0.26,-0.05,0.11,0.97
23:39:54.412383,0.97,-0.02,0.0,-0.26,-0.03,0.11,0.99
23:39:54.415382,0.96,-0.02,0.0,-0.26,-0.03,0.1,1.0
23:39:54.429382,0.96,-0.02,0.0,-0.26,-0.03,0.1,1.01
23:39:54.446382,0.96,-0.02,0.0,-0.27,-0.03,0.09,1.02
23:39:54.448382,0.96,-0.02,-0.0,-0.27,-0.04,0.09,1.01
23:39:54.462382,0.96,-0.02,-0.0,-0.27,-0.04,0.09,1.01
23:39:54.465382,0.96,-0.02,-0.0,-0.27,-0.02,0.08,1.02
23:39:54.479382,0.96,-0.02,0.0,-0.27,-0.01,0.1,1.03
23:39:54.495382,0.96,-0.02,0.0,-0.28,0.01,0.11,1.05
23:39:54.498382,0.96,-0.02,0.01,-0.28,0.01,0.11,1.08
23:39:54.512382,0.96,-0.02,0.01,-0.28,-0.01,0.12,1.11
23:39:54.515382,0.96,-0.02,0.01,-0.28,-0.03,0.14,1.13
23:39:54.529382,0.96,-0.02,0.01,-0.28,-0.02,0.16,1.13
23:39:54.545382,0.96,-0.01,0.0,-0.28,-0.02,0.19,1.11
23:39:54.548382,0.96,-0.01,-0.0,-0.28,-0.02,0.23,1.07
23:39:54.562382,0.96,-0.01,-0.01,-0.29,-0.01,0.29,1.03
23:39:54.565895,0.96,-0.01,-0.01,-0.29,0.01,0.37,0.98
23:39:54.580896,0.96,-0.01,-0.02,-0.29,0.04,0.43,0.95
23:39:54.584895,0.96,-0.01,-0.02,-0.29,0.08,0.48,0.96
23:39:54.595896,0.96,-0.01,-0.01,-0.29,0.1,0.51,0.99
23:39:54.612895,0.96,-0.01,-0.01,-0.29,0.08,0.53,1.02
23:39:54.614896,0.96,-0.01,-0.01,-0.29,0.05,0.55,1.05
23:39:54.628896,0.96,-0.01,-0.01,-0.29,0.01,0.56,1.06
23:39:54.645895,0.96,-0.01,-0.01,-0.29,-0.04,0.57,1.04
23:39:54.648896,0.96,-0.01,-0.01,-0.29,-0.09,0.56,1.0
23:39:54.662896,0.96,-0.0,-0.01,-0.29,-0.13,0.56,0.95
