t,w,x,y,z,ax,ay,az
8,1,0,0,-0.07,-0.07,0,1
7,1,0,0,-0.07,-0.1,-0,1
7,1,0,0,-0.07,-0.1,0,1
7,1,0.01,0,-0.07,-0.09,0.01,1
8,1,0.01,0,-0.07,-0.08,0.01,1
7,1,0.01,0,-0.07,-0.06,0.01,0.99
8,1,0.01,0,-0.07,-0.04,0.01,0.99
7,1,0,0,-0.07,-0.03,-0.01,0.99
8,1,0,0,-0.07,-0.02,-0.02,1
8,1,0,0,-0.07,-0.03,-0.02,1
8,1,0,0,-0.06,-0.03,-0.02,0.99
7,1,0,0,-0.07,-0.03,-0.03,0.99
7,1,0,0,-0.07,-0.02,-0.02,1
8,1,0,0,-0.07,-0.02,-0.02,1
8,1,0,0,-0.07,-0.01,-0.01,1
7,1,0,0,-0.07,-0.01,-0.01,1
7,1,0,0,-0.07,-0,-0.02,1
8,1,0,0,-0.06,0.01,-0.02,1
7,1,0,0,-0.06,0.01,-0.02,1
7,1,0,0,-0.06,0,-0.02,1
7,1,0,0,-0.06,-0,-0.03,1
8,1,0,0,-0.06,-0,-0.03,1
7,1,0,0,-0.06,-0,-0.03,1
8,1,0,0,-0.06,-0.01,-0.03,1
7,1,0,0,-0.06,-0.01,-0.03,1
7,1,0,0,-0.06,-0.02,-0.03,1
8,1,0,0,-0.06,-0.01,-0.05,1
8,1,0,0,-0.06,0,-0.05,1
7,1,0,0,-0.06,0.01,-0.05,1
7,1,0,0,-0.06,0.02,-0.05,1
8,1,0,0,-0.06,0.02,-0.06,1
8,1,0,0,-0.06,0.02,-0.07,1
7,1,0,0,-0.06,0.01,-0.08,1
7,1,-0,0,-0.06,0,-0.09,1
8,1,-0,0,-0.06,-0.01,-0.1,1
7,1,-0,0,-0.06,-0.02,-0.11,1
7,1,-0,0,-0.06,-0.03,-0.12,1
7,1,-0,0,-0.06,-0.03,-0.11,1
7,1,-0,0,-0.06,-0.03,-0.08,1
8,1,-0,0,-0.06,-0.03,-0.06,1
8,1,-0,0,-0.06,-0.03,-0.05,1
7,1,-0,0,-0.06,-0.04,-0.07,1
7,1,-0,0,-0.06,-0.05,-0.12,1
8,1,-0,0,-0.06,-0.06,-0.14,1
8,1,-0,0,-0.06,-0.07,-0.15,1
7,1,-0.01,0,-0.06,-0.08,-0.16,1
7,1,-0.01,0.01,-0.05,-0.07,-0.16,1
8,1,-0.01,0.01,-0.05,-0.06,-0.16,0.99
7,1,-0.01,0.01,-0.05,-0.06,-0.15,1
7,1,-0.01,0.01,-0.05,-0.07,-0.15,0.99
7,1,-0.01,0.01,-0.05,-0.06,-0.16,1
7,1,-0.01,0.01,-0.04,-0.05,-0.18,1
8,1,-0.01,0.01,-0.04,-0.04,-0.19,0.99
7,1,-0.01,0.01,-0.04,-0.04,-0.21,1
7,1,-0.01,0.01,-0.04,-0.03,-0.22,1
7,1,-0.01,0.01,-0.04,-0.03,-0.21,1
8,1,-0.01,0.01,-0.04,-0.02,-0.19,1
8,1,-0.01,0.01,-0.04,-0.01,-0.17,1
7,1,-0.01,0.01,-0.04,0,-0.15,1
7,1,-0.01,0.01,-0.03,0.02,-0.14,1
8,1,-0.01,0,-0.03,0.04,-0.13,1
